"X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents"
10187,0,0.015686151,50,0,0.343814892,6741,16,0,1,0,0
96148,0,0.00042103,39,1,590,NA,4,0,0,0,2
43996,0,0.021391863,52,0,0.301131617,13166,8,0,2,0,0
17968,0,0.053286521,77,0,323,NA,9,0,0,0,0
86552,0,0.572045048,31,0,0.178136977,6000,6,0,1,0,0
56425,0,0.9999999,58,0,0.005109976,4500,0,0,0,0,3
87613,0,0.996301876,42,2,0.083305565,3000,2,0,0,0,4
131615,0,0.9999999,46,1,0.090578697,3576,2,1,0,1,2
60755,0,0.9999999,58,1,0.368375946,7000,3,0,1,0,0
14477,0,0.128474861,50,0,0.041392812,7150,13,0,1,0,2
46450,0,0,58,0,814.5,1,7,0,2,0,0
139791,0,0,63,0,2121,NA,10,0,2,0,0
95228,0,0.079022657,64,0,0.508282249,7666,15,0,2,0,0
5801,0,0.04633123,66,0,89,NA,7,0,0,0,0
110690,0,0.831861356,30,0,0.164650184,1900,5,0,0,0,0
106143,0,0.011924078,36,0,0.002991027,3008,3,0,0,0,1
110045,0,0.081859406,46,0,0.210473691,8000,9,0,1,0,0
107490,0,0.020855985,85,0,0.005847953,3077,4,0,0,0,0
129470,0,0.418407321,44,0,0.511653718,3603,12,0,2,0,0
74501,0,0.056222577,77,0,0.110896018,3615,7,0,1,0,0
140264,0,0.9999999,47,1,0.283988335,7200,10,0,2,0,3
59848,0,0.012327465,53,0,0.391843263,2500,8,0,1,0,1
87996,0,0.030639724,29,0,1.083056478,1504,16,0,1,0,0
14340,0,0.239959095,56,0,3680,NA,18,0,1,0,0
32250,0,0.571342552,47,0,0.31824545,15000,16,0,2,0,2
16028,0,0.008545066,48,0,3542,NA,12,0,4,0,0
73778,0,0.9999999,51,0,0,NA,0,1,0,0,0
58578,0,0.288661291,30,0,0.504602668,5322,8,0,2,0,2
98436,0,0.054569869,54,0,0.469886563,8550,7,0,2,0,2
54483,0,0.622771519,30,3,0.394499549,4435,7,0,1,0,1
64839,0,0.164536513,65,1,0.295227726,5510,10,0,2,0,0
22024,0,0.001877513,72,0,0.114310646,4583,8,0,1,0,0
110153,0,0.026158584,59,0,0.309890816,3113,20,0,1,0,0
54005,0,0.357607055,55,0,0.158208955,4689,4,0,0,0,2
111650,0,0.015011916,41,0,0.106904825,3750,7,0,0,0,1
20163,0,0.045755563,53,0,0.591746173,4506,16,0,2,0,0
135731,0,0.044529858,66,0,0.16507177,4597,6,0,2,1,0
134489,0,0.041185316,38,0,0.01187905,8333,6,0,0,0,0
123164,0,0.251430461,30,0,0.352126607,4043,19,0,0,0,0
66083,0,0.9999999,65,0,0.410529823,3000,5,0,1,0,0
70702,0,0.553196217,41,0,0.37517305,6500,5,0,2,0,3
82071,0,0.702305652,30,0,0.285226302,4683,8,0,0,0,0
61797,0,0.011812635,80,0,0.003504432,4850,7,0,0,0,0
19473,0,0.9999999,52,0,358,NA,4,1,0,0,4
134931,0,0.057960664,35,0,0.455287317,2940,11,0,2,0,0
69001,0,0.017390961,91,0,0.004642028,5600,2,0,0,0,1
22426,0,0,39,0,0,NA,2,0,0,0,NA
11199,0,0,40,0,0,8750,5,0,0,0,0
144441,0,0.9999999,50,0,1364,NA,3,0,2,1,0
36458,0,0.089269689,61,0,0.168152211,5833,9,0,1,0,0
54098,0,0.72598961,69,2,1194,NA,7,1,1,0,0
116992,0,0.074260967,69,0,2.47788873,700,8,0,1,0,0
15893,0,0.258315953,58,0,0.283302559,15163,20,0,2,0,1
31994,0,0.826447426,54,0,0.209007604,5128,4,0,0,0,2
29763,0,0.097737692,62,0,0.400266622,6000,31,0,1,0,5
82810,0,0.076645184,47,0,0.402038133,6083,6,0,1,0,3
45993,0,0.843303335,47,0,0.10201531,6400,3,2,0,0,0
101701,0,0.406644075,46,0,2420,NA,3,0,2,0,0
17062,0,0.022683017,82,0,0.005197921,2500,6,0,0,0,0
33969,0,0.178727963,63,0,0.203027789,4821,6,0,1,0,1
83888,0,0.029681597,71,0,27,NA,7,0,0,0,0
126932,0,0.094575995,69,0,0.104980765,9877,9,0,1,0,0
63895,0,0.032695412,31,0,0.274765223,3300,10,0,0,0,1
119875,0,0.013997201,29,0,0.032300593,3033,2,0,0,0,0
43454,0,0.377621976,42,0,0.470453053,6091,9,0,2,0,2
58073,0,0.061120095,85,0,0.218125278,2250,9,0,0,0,0
6790,0,0.087440801,53,0,0.483258473,9795,19,0,3,0,0
36062,0,0.540306462,33,0,0.404016693,3833,4,0,1,0,0
102732,0,0.03311947,43,0,0.150546236,40000,9,0,2,0,2
60400,0,0.033025332,62,0,9050,NA,16,0,2,0,1
25810,0,0.439105231,60,0,0.265455757,6000,7,0,1,0,0
49435,0,0.11216555,67,0,0.504424779,6666,10,0,4,0,1
86977,0,0.056603774,24,0,0.176176593,2400,7,0,0,0,0
13300,0,0,58,0,6374,NA,21,0,3,0,0
69834,0,0,75,0,568,NA,6,0,0,0,0
1560,0,0.973447395,42,0,0.468198992,3175,9,0,1,0,0
138719,0,0.022042347,56,1,0.366705219,13833,12,0,1,0,1
124478,0,0.9999999,25,0,241,NA,1,0,0,0,3
60196,0,0.012789137,65,0,2.700199867,1500,9,0,3,0,0
136833,0,0.008499575,51,0,1.606994172,1200,3,0,2,0,2
132316,0,0.043279689,43,0,0.336400302,7933,9,0,1,0,0
15866,0,0.965517241,25,3,0.116259238,3517,3,0,0,0,0
98100,0,0.006683147,77,0,0.005847953,2564,8,0,0,0,0
146283,0,0.667617314,53,0,1.250721722,11430,18,0,1,0,0
115153,0,0.030118331,36,0,0.496717724,3198,9,0,1,0,0
34216,0,0.034620135,73,0,1235,NA,6,0,1,0,0
92898,0,0.149131149,56,0,0.454716586,4780,5,0,2,0,0
54187,0,0.745247427,44,0,0.243844519,8000,9,0,0,0,0
38869,0,0.9999999,32,0,0.503627232,3583,4,0,1,0,0
6148,0,0.000931243,62,0,0.15967629,12850,10,0,4,0,1
109378,0,0.143857097,50,0,3587,NA,9,0,2,0,3
128470,0,0.206455008,42,0,830,NA,2,0,1,0,0
55899,0,0.027212342,85,0,11,NA,3,0,0,0,0
22086,0,0.999307958,46,0,0.574411373,2250,4,0,0,0,3
147470,0,0.482769855,48,0,2596,NA,8,0,1,0,4
59277,0,0.835883315,46,0,0.869419643,3583,5,0,1,0,0
90500,0,0.010999784,36,0,0.517560305,8000,6,0,1,0,2
115884,0,0.102902906,49,0,0.660191273,3345,11,0,1,0,0
32197,0,0.603527929,50,0,0.163277778,17999,8,0,0,0,2
14648,0,0.201677685,77,0,0.483360611,1832,14,0,0,0,0
130563,0,0.9999999,25,0,475,NA,4,0,0,0,0
97935,0,0.823120382,29,0,0.11786195,5200,5,1,0,0,2
95974,0,0.918993866,58,0,0.438731791,3500,5,0,1,0,2
55522,0,0.079299294,65,0,0.210105319,7500,6,0,1,0,0
123689,0,0.565428971,46,0,0.475590287,11900,9,0,3,0,4
128307,0,0.039858032,51,0,82,NA,5,0,0,0,0
126520,0,0.592819985,43,0,0.20584706,9166,7,0,1,0,2
48012,0,0.35125907,39,0,0.352138308,2197,7,0,0,0,0
39291,0,0,54,0,2045,NA,5,0,1,0,3
137131,0,0.607933273,40,0,0.462264151,3709,8,0,0,0,1
141573,0,0.06532042,52,0,0.00973607,17049,5,0,0,0,3
142621,0,0.180001412,40,0,0.190393393,4600,7,0,1,0,1
103497,0,0.462394598,43,1,0.624637214,3100,13,0,1,1,0
39778,0,0.02956792,59,0,0.219075349,11333,9,0,2,0,2
84034,0,0.000208812,85,0,0,1689,7,0,0,0,0
100474,0,0.9999999,74,0,0,NA,1,0,0,0,NA
97197,0,0.157894737,39,0,0.115776845,5000,5,0,0,0,3
126244,0,0.071073691,57,0,0.190056135,4987,12,0,1,0,1
64721,0,0.018813516,66,0,0.088332644,4833,7,0,0,0,0
85295,0,0.451449222,49,0,0.328237669,10400,9,0,2,0,0
4971,0,0.676835727,53,0,4809,NA,12,0,2,0,0
65023,0,0.004161707,60,0,0.093221585,6800,9,0,1,0,1
4353,0,0.086377971,51,0,0.219463423,6000,5,0,2,0,3
27470,0,0.150387347,29,0,0.132314025,3400,12,0,0,0,0
64557,0,0.105641998,48,0,0.16942653,5736,4,0,0,0,0
38249,0,0.055588882,47,0,0.185328185,10359,5,0,1,0,1
32430,0,0.073415187,74,0,1269,NA,16,0,1,0,0
67204,0,0.05526694,77,0,0.291427143,4000,16,0,0,0,0
132764,0,0.478579433,65,0,0.359598214,4479,7,0,1,0,0
33485,0,0.639744102,27,2,0.13673688,2800,5,0,0,0,0
37685,0,0,27,0,0.052589482,5000,5,0,0,0,0
113038,0,0.00055761,75,0,0,2892,10,0,0,0,0
118622,0,0.652225054,40,0,2767,NA,4,5,1,0,0
17802,0,0.057464758,32,0,0.355256991,6400,8,0,1,0,0
8381,0,1.029660019,58,0,0.405074056,14110,10,0,1,0,1
25584,0,0.177835553,60,0,0.048162653,12000,10,0,0,0,1
54127,0,0.363132875,58,0,0.225765447,18093,7,0,1,0,2
128724,0,0.143066392,53,0,0.477312905,1696,6,0,1,0,1
2947,0,0,68,0,0.218632558,15166,15,0,3,0,1
60876,0,0.355506771,50,0,0.436524673,9483,15,0,2,0,0
98188,0,0.114882857,47,0,0.526565144,8864,9,0,2,0,1
5146,0,0.069017591,51,0,0.213422708,12083,8,0,1,0,4
74566,0,0.9999999,30,0,0.040958394,6176,1,0,0,0,0
48481,0,0.377784481,53,1,0.490962234,13000,20,0,2,0,0
137618,0,0.9999999,56,0,0.233588804,3000,2,0,1,0,0
10036,0,0.037053173,67,0,0.147065194,4616,11,0,1,0,0
64030,0,0.939722897,68,2,0.098220171,4550,3,0,0,0,0
12362,0,0.112658322,53,0,2650,NA,6,0,3,0,0
135121,0,0.975900602,40,0,0.781655035,5014,8,3,1,0,1
101358,0,0.483047197,40,0,0.389624426,3700,11,0,0,0,2
73550,0,0,71,0,133,NA,4,0,0,0,0
19829,0,0.188420877,60,0,0.434156584,10000,15,0,3,0,0
123496,0,0,30,1,362,NA,4,0,0,0,0
59272,0,0.466277551,53,0,0.625178554,10500,10,0,2,0,1
56975,0,0.023268232,53,0,0.213965646,8033,9,0,2,0,2
69245,0,0,50,0,0.562833994,5800,11,0,2,0,2
122255,0,0.155986148,29,0,0.575856036,4000,8,0,2,0,0
30164,0,0.450549451,24,0,0.003713225,3500,1,0,0,0,0
83433,0,0.001752528,48,0,0.136381312,18000,9,0,1,0,3
21123,0,0.505091931,42,0,0.777623487,5040,9,0,1,0,2
69947,0,0.016163973,28,0,0.127564342,2680,7,0,0,0,0
20469,0,0.037825686,65,0,0.05068116,14166,17,0,0,0,0
12001,0,0.04076509,48,0,5308,NA,12,0,4,0,1
53454,0,0.279786702,36,0,0.020579588,2380,3,0,0,0,0
117360,0,0.003587819,69,0,0.00502008,1991,16,0,0,0,0
89544,0,0.572554902,41,0,0.589568405,6000,12,0,2,0,2
81535,0,0.138748691,28,0,0.117606124,2873,3,0,0,0,0
96127,0,0.096695343,53,0,0.280277327,6778,5,0,1,0,2
57357,0,0.455205097,54,0,0.504991681,3605,13,0,0,0,2
59095,0,0.089365644,62,0,0.37913486,2750,14,0,1,0,0
135064,0,0.610278545,38,1,0.483408202,6900,16,0,1,0,2
122484,0,0,49,0,0.279715619,4500,2,0,1,0,0
14449,0,0.106107558,55,0,3578,NA,12,0,3,0,0
82401,0,0.943962858,66,0,0.553178729,5001,9,1,1,1,0
85627,0,0.000365074,57,0,1034,NA,11,0,1,0,0
112086,0,0,61,0,0.286305337,7250,5,0,1,0,0
62543,0,0.106314309,63,0,0.173433081,10960,8,0,1,0,1
56931,0,0.056644653,36,0,0.144376373,8650,7,0,1,0,2
108236,0,0,67,0,15,NA,6,0,0,0,0
7887,0,0,62,0,0.20950324,8333,3,0,2,0,0
128424,0,0.016756025,77,0,0.427514497,5000,13,0,1,0,1
18999,0,0.04222955,35,0,0.310114238,7177,3,0,2,0,0
101440,0,0.007368245,34,0,0.093490651,10000,8,0,0,0,1
113536,0,0.9999999,30,1,0.575757576,3200,6,0,1,0,1
122453,0,0.385650275,71,0,2828,NA,15,0,1,0,0
120949,0,0.976354547,46,0,0.333139196,5150,10,0,1,0,4
65370,0,0.208413685,75,0,580,NA,4,0,1,0,0
45841,0,0.332334573,45,0,0.502208789,4300,13,0,2,0,2
110987,0,0,89,0,0,1666,6,0,0,0,0
83572,0,0.144715849,47,0,0.032928943,7500,5,0,0,0,1
16660,0,0.021342247,67,0,0.104827586,7249,5,0,1,0,0
34432,0,0.046284061,55,0,0.396933844,6000,7,0,1,0,0
113800,0,0.173595915,62,0,0.176303949,6000,10,0,0,0,1
61493,0,0,31,0,0.282976325,2660,6,0,1,1,0
69633,0,0.034473464,76,0,37,NA,6,0,0,0,0
142812,0,0.15329643,36,0,0.259674033,10000,11,0,1,0,1
27851,0,0.038473009,78,0,65,NA,5,0,0,0,0
77624,0,0.228153898,63,0,4262,NA,14,0,2,0,0
21409,0,0.025891985,70,0,0.013496626,4000,12,0,0,0,1
110057,0,0.212923125,59,1,3299,NA,9,0,2,0,1
145669,0,0.887629374,60,0,0.364933975,13100,18,0,1,0,0
43798,0,0.968659873,43,0,0.073398784,2138,12,0,0,0,2
133916,0,0.9999999,51,0,0.03205411,6800,2,0,1,0,3
13280,0,0.063512956,53,0,0.225349505,10800,8,0,1,0,3
9779,0,0.636274473,36,0,0.204970718,7000,11,0,1,0,0
118043,0,0.148265146,53,0,0.288362979,6633,8,0,1,0,2
127488,0,0.59453117,40,2,0.240689828,4000,3,1,0,1,0
70982,0,0.03880141,53,2,2245,NA,13,0,2,0,0
147592,0,0.045779084,69,0,4408,NA,8,0,2,0,0
34162,0,0.020186519,35,0,703,NA,4,0,0,0,0
82635,0,0.04595186,67,0,574,NA,7,0,1,0,NA
49559,0,0.024419379,48,0,1506,NA,16,0,1,0,NA
4378,0,0.473803321,38,0,0.49078789,10800,10,0,2,0,2
136108,0,0.049611232,73,0,0.006951719,10500,5,0,0,0,0
44923,0,0.721727537,43,0,0.402441569,9583,5,0,1,0,2
35389,0,0,39,0,3326,NA,8,0,1,0,1
100698,0,0.001425279,33,0,0.001375095,6544,15,0,0,0,1
91176,0,0.046041605,71,0,0.301604116,6607,7,0,1,0,0
14937,0,0.231768232,36,0,0.005906406,2200,2,0,0,0,0
39151,0,0.540468244,61,0,0.764450616,5760,25,0,2,0,1
101147,0,0.204553382,44,0,0.098686679,2664,5,0,0,0,1
33031,0,0,51,0,0.234785829,8100,2,0,1,0,2
137683,0,0.049803663,72,0,60,NA,6,0,0,0,0
18260,0,0.635363294,61,6,0.429449386,48000,33,1,26,0,1
49316,0,0.03578694,33,0,0.185246557,17500,12,0,2,0,2
51647,0,0.013764582,40,1,0.346027018,9400,10,0,2,0,2
94652,0,0.052184484,57,0,0.411948506,8000,13,0,2,0,2
96777,0,0.660141528,31,0,0.358758606,9150,19,0,1,0,0
31606,0,1.463571889,42,0,0.189170665,2917,6,2,0,2,2
80369,0,0.976534898,57,0,0.206915706,7200,5,0,1,0,1
104388,0,0.048492977,81,0,0.029985007,2000,8,0,0,0,0
112813,0,0,30,0,183,NA,4,0,0,0,0
18876,0,0.230378811,35,0,0.399952387,8400,7,0,2,0,3
41116,0,0.000571408,68,0,0.126449531,9916,4,0,2,0,1
57072,0,0.9999999,75,0,0,NA,2,0,0,0,NA
87855,0,0.036831799,28,0,0.006239501,4166,3,0,0,0,0
131945,0,0.255045513,64,0,0.405059494,10000,14,0,2,0,4
66910,0,0.005369267,59,0,1783,NA,17,0,2,0,0
103503,0,0.926796752,53,0,399,NA,3,0,0,1,NA
142265,0,0.081284621,72,0,0.012405895,9430,6,0,0,0,0
24391,0,0.019955896,84,0,0.003461095,7800,3,0,0,0,0
6975,0,0,30,0,0.466844385,3000,4,0,1,0,0
10944,0,0.406998046,40,0,0.308412626,6620,7,0,0,0,2
118068,0,0.345271465,54,0,0.350164984,10000,14,0,2,0,0
131392,0,0.052575028,74,1,0.826038658,4500,25,0,1,0,0
70239,0,0.697823984,52,0,0.884647075,7281,21,0,2,0,1
67374,0,0.847472151,69,0,0.455298993,1688,3,1,1,0,0
101137,0,0,29,0,0.163391934,2900,8,0,0,0,0
51799,0,0,37,0,0,4980,2,0,0,0,0
117237,0,0.020940878,63,0,0.345755694,4346,15,0,2,0,0
87467,0,0.088229254,57,0,0.210419055,7850,14,0,1,0,0
83113,0,0.832989312,56,0,0.234325097,5948,3,0,1,0,0
54623,0,0.500919768,42,0,0.356607232,6000,14,0,2,0,2
145629,0,0.135339376,52,0,3396,NA,6,0,1,0,3
148882,0,0.004025338,47,0,0.339441899,2400,10,0,1,0,1
117806,0,0.9999999,62,1,0.391888649,8333,4,0,1,0,1
75910,0,0.600417256,49,1,0.614381358,11500,13,0,4,0,0
131551,0,0.081278565,77,0,0.026825633,4025,12,0,0,0,0
70577,0,0.135412206,44,0,1213,NA,5,0,1,0,0
58509,0,0.216641492,36,0,0.719117815,8750,11,0,2,0,2
50458,0,1.004331889,48,0,0.456233422,4900,9,0,1,0,1
145971,0,0.066493351,69,0,0.004221284,4500,1,0,0,0,0
1637,0,0.045759314,41,0,0.409914601,4800,17,0,2,0,2
54575,0,0.090955269,58,0,279,NA,7,0,0,0,0
62137,0,0.195272286,64,0,204,NA,2,0,0,0,0
117933,0,0.506132217,38,0,0.163109414,4450,10,0,0,0,2
13524,0,0.062949383,47,0,3161,NA,4,0,1,0,NA
132070,0,0.35060664,68,1,0.250503571,5460,8,0,1,0,0
39786,0,0.13875766,51,0,0.306495883,7650,19,0,1,0,1
54291,0,0.956014662,58,0,0.175630652,2100,5,0,0,0,0
70716,0,0.051976962,54,0,0.00644871,6667,3,0,0,0,2
91216,0,0.099457713,37,0,2987.5,1,6,0,1,0,2
70795,0,0.030436643,56,0,0.319237797,7661,7,0,1,0,0
73008,0,0.787892222,50,0,1650,NA,6,0,1,0,0
71546,0,0.013973316,60,0,3199,NA,15,0,2,0,0
32615,0,0.681015017,40,0,0.124458204,9689,7,0,0,0,1
90470,0,0.23712903,40,0,0.876876877,4328,12,0,2,0,1
79446,0,0.9999999,51,1,0.862231916,2750,3,0,2,1,2
117353,0,0.003838586,81,0,0.074975008,3000,9,0,1,0,0
16038,0,0.9999999,29,0,0.06104034,3767,1,0,0,0,3
78841,0,0.0905091,44,0,1.265408107,1800,8,0,1,0,2
70708,0,0.074249414,36,0,0.033397773,15000,9,0,0,0,1
97540,0,0.988828357,32,0,0.660484286,1940,9,0,0,0,1
133268,0,0,55,0,1.205833921,4250,8,0,2,0,0
83743,0,5423,44,1,0.226618511,18550,9,0,3,0,0
25970,0,0.468125009,44,0,0.144861776,11900,13,0,0,0,2
53669,0,0.016638669,39,0,0.349331505,8750,10,0,2,0,0
128776,0,0.523833427,65,0,0.598025117,10430,16,0,2,0,1
98937,0,0,45,0,3191,NA,7,0,1,0,0
86876,0,0.000615374,71,0,2797,NA,6,0,1,0,0
11533,0,1.028394321,36,1,0.882121807,2035,7,0,1,0,0
67230,0,0.024596288,32,0,0.273968934,7467,7,0,1,0,0
60618,0,0.118176412,58,0,0.164525645,10508,7,0,2,0,2
143026,0,0,67,0,0.13070475,3220,9,0,0,0,0
70799,0,0.621216778,59,0,0.52407932,6000,9,0,1,0,2
36452,0,0.015286547,48,0,0.00192283,7800,4,0,0,0,1
105140,0,0.071457528,67,1,3273,NA,11,0,2,0,NA
68,0,0.006799093,27,1,0.681045752,764,3,0,0,0,0
111763,0,0.041766708,78,0,69,NA,4,0,0,0,NA
27505,0,0.9999999,35,0,0.313965115,9000,7,0,2,0,3
140999,0,0.356094065,47,0,0.564348647,6355,13,0,3,1,0
72074,0,0.134073174,73,0,1713,NA,5,0,1,0,0
109591,0,0.024116071,67,0,0.241339223,4300,8,0,1,0,0
136679,0,0.287534253,51,0,0.22869371,5373,15,0,0,0,0
119577,0,0.124577438,65,0,0.222348533,23750,21,0,3,0,1
60700,0,0.013997201,30,0,0.412917417,5000,4,0,1,0,0
23935,0,0,60,0,1,NA,11,0,0,0,0
44682,0,0.9999999,84,1,1813,NA,3,0,2,0,0
143327,0,0,51,0,0.283952675,6000,6,0,2,0,4
90806,0,0.084566628,51,0,0.329129312,6580,10,0,2,0,0
149474,0,0.3898555,40,0,0.310669333,8500,9,0,1,0,3
95049,0,0.031790019,45,0,2337,NA,8,0,1,0,0
99349,0,0.038741935,71,0,0.258866238,3580,6,0,1,0,0
47353,0,0.01320694,61,0,0.002856735,7000,6,0,0,0,1
141989,0,0.677576546,70,2,0.960652591,2083,13,0,1,1,0
97635,0,0.003928291,62,0,0.104123282,2400,2,0,0,0,1
104521,0,0.190507936,80,0,0.075457461,5300,8,0,0,0,1
116252,0,0,62,0,1766,NA,10,0,2,0,0
102038,0,0,77,0,0,1601,1,0,0,0,0
145745,0,0.92118416,52,3,1334,NA,6,0,0,2,0
18490,0,0.031224757,45,0,2086,NA,12,1,1,0,1
145295,0,0.207948016,44,0,0.142482975,9544,10,0,0,0,2
21973,0,0.228724526,60,0,1932,NA,7,0,1,0,0
42830,0,0.094624161,54,0,0.433300517,8125,9,0,1,0,0
32864,0,0.255367748,61,0,0.078511719,6100,4,0,0,0,1
19707,0,0.9999999,27,1,0.317336533,1666,3,0,0,0,0
33597,0,0.346272607,46,0,95,NA,6,0,0,0,0
38979,0,0,57,1,0.65738758,1400,6,0,1,0,0
112204,0,0.108910258,64,0,1832,NA,10,0,1,0,0
42189,0,0.312569849,46,0,0.162449235,3200,11,0,0,0,1
47129,0,0.028530048,71,0,84,NA,6,0,0,0,0
105825,0,0.083276669,67,0,1818,NA,3,0,1,0,NA
9979,0,0.135601695,59,4,0.872020895,6125,8,0,2,0,0
13149,0,0.129953875,71,0,0.448530089,10850,14,0,3,0,0
112862,0,0.185013059,56,1,0.64405085,7000,19,0,3,0,1
142722,0,0.9999999,23,0,4,NA,1,0,0,0,NA
82265,0,0.252306716,53,0,0.35641641,8750,16,0,2,0,2
948,0,0.133613717,43,1,0.421048246,12000,14,0,3,1,2
25639,0,0.24170957,37,0,0.267061078,12000,15,0,2,0,0
61746,0,0.067254686,68,0,0.015596881,5000,6,0,0,0,0
9702,0,0.023295434,63,0,0.133880757,2800,13,0,0,0,0
142503,0,0,48,0,0,NA,6,0,0,0,0
119448,0,0.11938366,53,0,0.268210368,10666,18,0,1,0,4
50885,0,0.045641689,65,0,0.135063403,3390,4,0,0,0,0
25105,0,0.058741454,67,0,0.343539498,3265,10,0,0,0,0
41994,0,0.335760379,74,0,0.208930233,5374,5,0,0,0,1
50856,0,0.452219112,50,0,0.227676682,7088,3,0,1,0,1
19422,0,0.344157626,48,0,0.470455335,5753,24,1,1,0,3
65241,0,0.039351004,46,0,0.03714827,21642,11,0,1,0,1
18658,0,0.261477046,21,0,3,NA,1,0,0,0,NA
143455,0,0.890671222,37,0,2.260956175,501,8,0,0,0,0
44716,0,0,71,0,774,NA,2,0,0,0,0
49251,0,0.196766994,53,0,0.380123975,5000,10,0,1,0,1
67116,0,0.046162323,64,0,0.347101536,8400,10,0,1,0,1
148866,0,0.337352721,77,0,0.502892651,4666,9,0,2,0,0
33338,0,0.102797799,66,0,0.236505398,5001,10,0,1,0,0
38519,0,0.763150155,78,3,0.429740047,5500,12,0,1,0,0
72578,0,0,43,0,0.377931285,5500,4,0,1,0,4
128014,0,0.814487421,44,0,0.239014913,17500,14,0,2,0,2
31687,0,0.371759468,54,0,0.703895145,10833,14,0,2,0,2
30803,0,0.192314195,51,0,0.197432678,7166,8,0,2,0,2
88678,0,0.768842394,59,1,1.382589612,4100,15,0,3,0,1
31604,0,0.953725831,43,0,0.283799137,4400,4,0,0,0,0
72346,0,0.776309784,39,0,0.355879752,15833,9,0,2,0,1
50397,0,0.135240801,51,0,0.238847584,15063,12,0,1,0,2
106701,0,0.297004101,45,0,0.259568018,7916,7,0,2,0,1
85138,0,0.925730649,64,1,0.425699928,5571,10,1,1,0,1
34020,0,0.113285321,43,0,0.41350349,9167,18,0,2,0,2
125979,0,0,70,0,580,NA,8,0,1,0,0
81871,0,0,39,1,30,NA,3,0,0,0,0
13370,0,0.062689745,50,0,3530,0,4,0,1,0,0
130901,0,0.287361482,46,0,0.496185214,3800,7,0,1,0,1
136284,0,0.645350751,42,0,1.057471264,10700,11,0,4,1,3
66302,0,0.034663848,51,0,0.292331953,5072,8,0,1,0,0
52847,0,0.16279186,47,0,1605,NA,6,0,1,0,0
43462,0,0.2156312,70,0,0.333068489,6292,13,0,1,0,0
50620,0,0.084431112,34,0,0.297135243,1500,4,0,0,0,0
122085,0,0.571225114,69,0,3151,NA,7,0,2,0,0
81742,0,0.106263924,40,0,0.028558052,2135,4,0,0,0,0
1303,0,0,42,0,0.483205749,6400,3,0,1,0,4
38707,0,0.032475575,32,0,0.042970574,6422,4,0,0,0,0
88940,0,0.686088092,32,0,0.309016849,5400,16,0,1,0,0
4387,0,0.027963874,84,0,0.00879824,5000,4,0,0,0,0
132767,0,0.693329524,31,0,0.215431051,5300,5,0,0,0,0
104622,0,0.464210799,53,0,1.547726137,2000,15,0,2,0,0
88361,0,0.581983372,53,0,0.812534446,12700,10,0,3,0,1
803,0,0,45,0,0.735816454,10416,11,0,4,0,1
59792,0,0.041291676,50,0,0.08556994,9500,5,0,1,0,3
15443,0,0.013149671,65,0,0.003461006,4333,2,0,0,0,1
77324,0,0.9999999,44,0,0,NA,0,0,0,0,0
100812,0,0.32796789,52,0,0.227365769,6350,11,0,2,0,0
142279,0,0.417629356,72,0,0.408328623,5306,7,0,1,0,0
118210,0,0.997363876,36,0,0.777160631,4500,8,0,2,0,3
102273,0,0.9999999,30,0,0.007197121,2500,0,0,0,0,0
146144,0,0.495615298,60,1,0.026269459,21583,3,0,0,0,1
13222,0,0.076699867,55,0,1343,NA,7,0,0,1,0
141920,0,0.9999999,24,0,0.61298377,800,1,0,0,0,0
89214,0,0.459655722,46,0,1.103758931,3218,7,0,2,0,0
56682,0,0.252970789,40,0,0.715616046,4187,11,0,1,0,1
136656,0,0.021970593,69,0,0.501791127,3628,12,0,2,1,0
112219,0,0.912043978,24,0,0.021110242,2557,2,0,0,0,0
65588,0,0.145428411,68,0,4774,NA,11,0,1,0,0
86906,0,0.009594162,61,0,0.00182704,3283,4,0,0,0,0
35268,0,0.9999999,69,0,2389,NA,7,0,1,0,0
20295,0,0.688051991,32,0,2588,NA,6,1,2,0,1
78779,0,0.19978783,48,0,2205,NA,14,0,1,0,3
12621,0,0.146187776,53,0,160,NA,4,0,0,0,0
647,0,0.336596148,36,0,0.08037225,1181,2,0,0,0,0
99512,0,0.813124886,54,1,0.25872207,2550,4,0,0,2,0
5855,0,0.38164714,65,0,0.668765593,8416,24,0,3,0,0
84894,0,0.007252821,67,0,0.005260389,1900,5,0,0,0,0
36002,0,0.179341033,31,0,4639,NA,6,0,2,0,0
32066,0,0.004609436,57,0,0.469740634,9715,10,0,4,0,1
96827,0,0.297832794,46,0,0.078487448,6293,3,0,1,0,0
143041,0,0.02666592,85,0,0.004479283,6250,5,0,0,0,0
82451,0,0.011538314,51,0,0.356866538,9305,20,0,2,0,0
143052,0,0.196843584,44,0,0.038820992,1390,6,0,0,0,1
93712,0,0,65,0,1577,NA,6,0,1,0,0
21616,0,0.9999999,35,1,1899,NA,10,0,1,0,0
30777,0,0.568215892,33,0,0.070074394,4166,4,0,0,0,2
33112,0,0.480365164,56,0,0.106207289,3511,3,0,0,0,1
14562,0,0.569407604,62,0,0.680841048,6372,14,0,2,0,0
