X,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
29521,0,0.003703564,67,2,0.818407264,25000,12,0,3,0,0
138235,0,0,56,0,0.309665346,9083,8,0,2,0,1
20286,0,0.022823847,62,1,26,0,6,0,0,0,0
40863,0,0.041927889,53,0,0.48990202,5000,9,0,2,0,3
116428,0,0.427451083,54,0,1.180372558,2200,16,0,4,0,0
805,0,0.134374585,63,0,111,,2,0,0,0,0
59447,0,0.777965275,46,0,1.019775873,4550,7,0,2,0,0
101704,0,0.062187562,70,0,0.019490255,2000,5,0,0,0,0
82316,0,0.032082903,46,1,908,,10,0,0,0,0
98231,0,0.161896826,56,1,2114,,12,0,0,0,1
18227,0,0.069672715,71,0,0.478877781,3100,12,0,1,0,0
140958,0,0.156122925,60,0,76,,1,0,0,0,
58259,0,0.283056182,72,0,0.234723404,5874,14,0,1,0,0
8803,0,0.557624852,46,0,0.602937226,11166,16,0,2,0,2
60653,0,0,34,0,0.717094302,3000,5,0,1,0,2
3873,0,0.000123965,65,0,1301,,9,0,1,0,0
107398,0,0.052871642,53,0,0.084727685,15000,21,0,0,0,0
107538,0,0,73,0,1772,,4,0,1,0,0
148711,0,0.666587311,29,0,1.083333333,3671,7,0,1,0,0
114974,0,0,46,0,0.157691434,4400,4,0,0,0,3
148997,0,0.025686491,46,0,0.68039468,2330,10,0,1,0,1
100834,0,0.02631359,78,0,0.140204271,14000,11,0,2,0,0
3601,0,0.031397875,47,0,0.062149008,10683,3,0,1,0,1
12474,0,0.042751109,39,0,0.371728253,10391,25,0,3,0,3
87452,0,0.101008056,34,0,0.028363358,2608,2,0,0,0,2
92249,0,0.123941991,43,0,0.224097637,3850,11,0,0,0,2
136380,0,0.071804931,66,0,0.12125163,2300,7,0,0,0,1
122248,0,0.153109962,49,0,0.737572849,5833,9,0,3,0,0
12405,0,0.039189421,62,0,0.234484657,7266,11,0,2,0,0
116595,0,0.122639625,38,0,0.283603296,3518,8,0,1,0,2
117266,0,0.138134643,63,1,0.159773877,3360,6,0,0,0,0
78413,0,0.183461714,50,0,0.368625708,9000,14,0,2,0,2
88637,0,0.9999999,66,0,0.199346405,1835,6,0,0,0,0
101145,0,0.069175907,60,0,0.229252329,11916,14,0,1,0,1
35173,0,0.034702534,61,0,0.049678981,9500,7,0,0,0,0
30915,0,0.839754134,34,0,0.086114236,8000,9,0,0,0,1
51393,0,0.001958634,56,2,0.549690062,5000,45,0,2,0,2
74792,0,0.018060793,36,0,0.221437142,7500,7,0,1,0,0
56591,0,0.00359988,63,0,0.000576812,5200,2,0,0,0,0
67610,0,0.149550374,51,0,0.478805652,3750,17,0,1,0,2
108757,0,0.018028913,56,0,0.616691654,2000,9,0,1,0,0
105624,0,0.021351685,52,0,0.566678094,2916,5,0,2,0,0
78257,0,0.793082818,47,0,0.503490691,6015,10,0,1,1,0
99065,0,0.421201868,51,1,0.64381068,6591,20,1,2,0,0
34488,0,0.215326022,54,0,0.310798607,7750,16,0,1,0,0
103195,0,0.647424464,49,0,3014,,7,0,2,0,4
27697,0,0.015588614,53,0,0.00579884,5000,8,0,0,0,0
71400,0,0.148893012,64,0,0.213464863,9832,8,0,1,0,0
31551,0,0.199229273,35,0,1077,,11,0,0,0,0
21680,0,0.092779087,54,0,0.222252522,11000,5,0,2,0,0
9832,0,0.777875329,48,0,0.51069786,5000,11,0,2,0,1
61624,0,1.213786214,46,0,63,,1,0,0,1,0
46040,0,0.047356303,72,1,103,,13,0,0,0,0
113137,0,0.18429639,31,0,0.02832244,1835,3,0,0,0,0
129819,0,0.001890225,42,0,0.214039298,6666,16,0,3,0,2
33411,0,0.836838772,45,0,0.438737264,18942,11,0,3,0,2
105565,1,0.096071141,47,0,0.220449144,20616,7,0,1,0,1
85679,0,0.062773004,61,0,0.49320672,6844,24,0,1,1,3
66057,0,0.052201695,39,0,0.157087339,4888,6,0,0,0,0
45638,0,1.003633212,45,0,0.351431101,10166,8,0,2,0,2
12882,0,0.548261867,31,0,0.327334533,5000,5,0,1,0,2
143491,0,0,53,0,0.21454078,7000,10,0,1,0,1
127434,0,0.110692526,54,0,0.151480853,5300,7,0,1,0,0
47856,0,0.192538308,64,0,0.002594034,3083,2,0,0,0,0
36165,0,0.218058295,64,0,0.013482633,4375,3,2,0,0,0
13993,0,0.622242577,30,0,0.321908026,3500,6,0,1,0,0
53300,0,0.595224733,32,0,0.144967053,4400,4,0,0,0,0
118585,0,0.307807683,34,0,0.118822876,1800,8,0,0,0,0
115337,0,0.071236685,50,0,0.331852263,3600,10,0,1,0,0
54936,0,0.056021173,28,0,0.228740021,2880,9,0,0,0,0
1810,0,0.059112597,59,0,1743,,3,0,1,0,
28952,0,0.002216877,42,1,0.531559729,5750,7,0,1,0,2
74676,0,0.080979615,76,0,0.53718091,1801,4,0,1,0,0
112760,0,0.067451428,44,0,0.074990626,10667,7,0,0,0,3
103073,0,0.148400154,46,0,1887,0,16,0,2,0,1
113769,0,0.54640803,41,1,744,,4,0,0,0,0
10172,0,0.178911971,65,0,0.248895925,12000,9,0,3,0,0
53540,0,0.017318695,63,1,0.128982222,8380,8,0,1,0,0
53985,0,0.869216031,49,0,0.271004648,5593,8,1,0,1,4
127446,0,0.443297514,42,0,0.564644245,5916,9,0,1,0,2
16403,0,0.002656575,78,0,0.000761832,10500,17,0,0,0,0
139094,0,0.02215552,62,0,0.31596674,9500,6,0,2,0,1
34288,0,0.054071979,57,0,0.022743947,6814,8,0,0,0,0
49000,0,0.859843738,54,0,1.995601759,2500,12,0,2,0,0
113772,0,0.199055567,37,0,0.168970776,40000,8,0,2,0,2
1997,0,0.9999999,23,0,0.117033604,862,1,0,0,0,0
22864,0,0.105020649,46,0,3672,,12,0,1,0,1
38465,0,0.613430127,69,1,0.466875326,1916,3,0,1,0,0
56648,0,0.07179119,55,0,0.342489519,6916,7,0,1,0,0
117450,0,0,31,0,0.050374928,5200,2,0,0,0,0
27131,0,0.037611477,83,0,0.014311736,3842,2,0,0,0,0
42111,0,0.003151647,74,0,0.005450942,4035,8,0,0,0,0
134516,0,0.36347149,62,0,0.085614217,7708,5,0,0,0,0
36903,0,0.191054516,71,0,0.689277204,6294,6,0,2,0,3
68535,0,0.07272312,56,0,0.02039898,6666,5,0,0,0,0
118308,0,0.856381206,35,0,0.224908201,3267,5,0,0,0,0
109842,0,0.419408133,57,0,0.143952016,3000,5,0,0,0,0
117851,0,0.02065989,57,0,0.377278671,13000,11,0,3,0,2
33480,0,0,59,0,0.496821656,14000,5,0,2,0,2
12077,0,0,69,0,0.355232407,3850,11,0,2,0,0
41159,0,0.65107816,50,0,0.183844011,14000,10,0,1,0,1
113060,0,0.040849129,70,0,0.021048939,5700,9,0,0,0,0
3032,0,0.250642796,40,1,0.491150442,2711,5,0,2,0,1
6493,0,0.076584683,55,0,0.002054539,5353,2,0,0,0,0
65756,0,0.054248249,56,0,1114,,10,0,2,0,0
129429,0,0.055767824,86,0,0.004254414,4700,3,0,0,0,1
92523,0,0.242277342,48,0,0.451591063,2953,13,0,0,0,2
54982,0,0,68,0,0.364934016,14851,7,0,4,0,0
115119,0,0.109309042,45,2,0.566594026,7800,13,0,4,0,1
31030,0,0.075110761,39,0,0.016044384,6668,8,0,0,0,0
84526,0,0.482153991,67,0,0.658136745,5001,13,0,1,0,0
15745,0,0.101801205,50,0,0.252499667,7500,18,0,1,0,1
32400,0,0.306379575,34,0,0.040087265,3666,1,0,0,0,0
91052,0,0.9999999,46,0,0,2375,1,0,0,0,0
29259,0,0.011459771,81,0,0.210526316,2906,7,0,1,0,0
96718,0,0.064204107,61,0,1.291623578,2900,12,0,4,0,1
138310,0,0.013545957,50,1,0.142880181,6200,8,0,1,0,1
70704,0,0.144757539,54,0,0.447296559,5492,7,0,1,0,0
17101,0,0.102746535,70,0,0.223490943,19266,15,0,2,0,1
92270,0,0.410820424,48,0,0.552586041,5200,11,0,2,0,0
65338,0,0.014346739,66,1,0.147696959,11245,17,0,1,0,0
73763,0,0.090907666,59,0,0.91858306,7000,12,0,2,0,0
147895,0,0,63,0,0,0,3,0,0,0,0
53920,0,0.322653223,65,0,1730,,5,0,2,0,2
109322,0,0.02161913,72,0,0.232801074,6700,15,0,2,0,0
116071,0,0.478626148,40,0,0.590784101,12000,14,0,3,0,2
42800,0,0.027072988,56,0,2772,,7,0,1,0,0
49630,0,0.057580469,36,0,0.304033541,6916,10,0,1,0,0
110010,0,0.568170624,53,0,0.631117348,5700,13,0,2,0,3
86823,0,0.000456073,70,0,482,,12,0,0,0,
22727,0,0.950609878,44,0,0.446610678,3333,3,0,1,0,1
14951,1,1.401197605,39,1,0.103507481,4076,5,1,0,0,2
135527,0,0.179631739,62,0,0.403299725,12000,28,0,2,0,1
38028,0,0.781203133,29,0,0.237839451,3350,7,0,0,0,0
30499,0,0.9999999,37,0,0,,0,1,0,0,0
76138,0,0.142600412,60,0,0.405214317,4525,19,0,1,0,2
117386,0,0.327717269,49,0,0.232107708,12700,6,0,1,0,3
98101,0,0.835174187,39,0,0.851285099,6730,25,0,2,0,1
23784,0,0.408748736,63,0,0.512688433,13200,6,0,3,0,0
36069,0,0.03972066,58,0,3319,,10,0,2,0,0
8705,1,0.9999999,37,0,37,,1,0,0,0,0
76073,0,0.047972784,59,0,0.190514411,13704,10,0,1,0,0
29408,0,0.492216926,44,0,0.450119986,2916,4,0,0,0,2
81232,0,0.012611988,46,0,0.275373634,8965,8,0,1,0,1
45936,0,1.112596296,44,1,345.5,1,6,0,0,0,2
27354,0,0.934503163,58,0,1.775858097,4340,7,0,2,0,0
31773,0,0,73,0,0.344791531,7650,12,0,2,0,1
47878,0,0.9999999,22,0,0,820,1,0,0,0,0
78329,0,0.123925621,54,1,0.025595905,6250,10,0,0,0,0
113983,0,0.9999999,32,2,645,,2,0,0,0,1
36830,0,0.386070647,71,0,0.220177982,10000,6,0,2,0,1
51199,0,0.009158425,61,0,0.252417795,4135,10,0,1,0,0
42501,0,0.593086886,37,1,0.650569886,6667,10,0,2,0,3
119016,0,0.001492753,78,0,729.5,1,10,0,1,0,0
66920,0,0.556474706,46,0,0.598207618,6694,6,0,2,0,3
118394,0,0,45,0,568,,5,0,1,0,0
83537,0,0.049955724,48,0,0.475435816,4416,12,0,1,0,2
120752,0,0,59,0,0.139107612,8000,12,0,1,0,0
100041,0,0.487460363,61,0,510,,4,0,1,0,0
48819,0,0.184240788,39,0,0.318833697,10528,4,0,2,0,2
62901,0,0.067884149,68,0,0.17785342,9400,22,0,1,0,1
104387,0,0.10076148,65,0,0.307169283,10000,8,0,1,0,1
120370,0,0.233999378,56,0,0.257380237,5656,12,0,0,0,0
103309,0,0.043822241,56,0,0.435180604,8083,6,0,2,0,2
109829,0,0.054554269,40,0,0.440770615,15000,12,0,4,0,1
108661,0,0.05234587,65,1,1.280929768,4000,11,0,4,0,0
17711,0,0.01775903,56,0,0.356100409,3425,16,0,1,0,0
91459,0,0.785606325,28,0,0.236503856,3500,8,0,0,0,0
52565,0,0.005467896,29,0,0.362683023,5053,8,0,1,0,0
53986,0,0.965503806,46,0,4430,,19,0,2,0,0
49731,0,0.031792566,62,0,0.032841141,3927,9,0,0,0,1
141090,0,0.018466051,62,0,0.00159984,10000,1,0,0,0,0
79386,0,0.778386028,60,0,0.381737346,14619,21,0,3,0,1
137303,0,0.015098516,84,0,22,,6,0,0,0,0
82503,1,0.803274591,46,1,1.619764398,1527,6,2,2,1,1
39593,0,0.141995697,37,0,0.343184091,9000,10,0,2,0,1
122330,0,0,73,0,1097,,11,0,2,0,0
96339,0,0,66,0,0.343256379,6583,12,0,1,0,2
12799,0,0.065158885,66,0,3444,,8,0,2,0,0
138231,0,0.002920225,61,0,0.269394217,12000,12,0,2,0,0
38495,0,0.260829567,55,0,197,,5,0,0,0,
149026,0,0.008246722,76,0,0.002039837,8333,6,0,0,0,1
4305,0,0.037327468,52,0,0.386406376,11166,16,0,4,0,1
71902,0,0.194680756,71,0,0.215322236,4685,8,0,1,0,1
126594,1,1.017618214,38,0,0.542518468,5820,9,0,1,0,0
8494,0,0.808756866,69,1,0.399891628,3690,8,0,1,0,0
130926,0,0.177641531,60,0,0.724568858,4000,11,0,2,0,2
15320,0,0.021365294,69,0,0.229230875,14600,22,0,1,0,0
21405,0,0,59,0,2534,,6,0,1,0,2
44832,0,0.365037552,71,0,0.910206945,2850,19,0,1,0,0
48216,0,0.002017108,51,0,0.170782922,10000,10,0,1,0,2
102264,0,0.9999999,34,0,0.083391661,10000,6,0,1,0,0
48662,0,0,76,0,0,,5,0,0,0,0
77403,0,0.311477503,61,0,0.392253521,7099,9,0,2,0,1
69149,0,0.9999999,39,0,0.223240317,2400,4,0,0,0,0
148115,0,0.192693193,63,0,664,,9,0,1,0,5
122664,1,0.968334933,48,7,0.439156627,3319,11,2,0,0,0
83897,0,0.258313764,63,0,0.324973031,7415,12,0,2,0,1
61146,0,0.336864869,55,0,1394,,14,0,0,0,0
32686,0,0.086487522,49,0,0.265177446,11101,7,0,2,0,1
14912,0,0.402559744,43,0,0.407755582,3403,3,0,1,0,0
68277,0,0.007835937,77,0,13,,9,0,0,0,0
109602,0,0.010979192,43,0,349,,17,0,0,0,0
145568,0,0.024835724,46,0,5.820598007,300,6,0,1,0,1
126941,0,0.095080692,49,0,0.530823459,6666,13,0,1,0,1
21842,0,0.059705004,44,0,0.295734701,9166,11,0,1,0,2
47051,0,0.516604713,41,0,0.271127776,10400,9,0,2,0,5
143292,0,0.483701966,41,2,0.523307661,7400,12,0,2,0,3
28690,0,0.000843361,64,0,0.269485253,8916,9,0,2,0,0
129818,0,0,37,0,0.381263617,6425,11,0,2,0,3
57208,1,0.141956277,63,0,0.960918752,2916,10,0,1,0,1
39124,0,0.33693962,46,0,0.049585433,6150,5,0,0,0,2
128194,0,0.204012147,75,0,0.122317597,7455,9,0,1,0,0
40573,0,0.590598093,50,0,0.178331592,6700,6,0,1,0,0
73995,0,5.76E-05,40,0,0.386761324,10000,10,0,3,0,0
146299,0,0.038854837,57,0,0.043416167,3500,10,0,1,0,0
125543,0,0.9999999,83,0,0,,1,0,0,0,0
22253,0,0.097397518,61,0,721,,8,0,1,0,0
124768,0,0.490169272,72,0,0.58573854,5300,15,0,2,0,1
149340,0,0.042353113,68,0,123,,13,0,0,0,0
92923,0,0.106167384,44,0,0.279786702,6000,6,0,1,0,2
45896,0,0.186248792,70,0,2018,,13,0,2,0,0
140776,0,0.739642974,49,1,1.418639369,4688,16,0,2,0,0
97331,0,0.966754156,71,0,0.402515723,2702,6,0,0,0,0
62518,0,0,35,0,0.185227273,4399,7,0,0,0,0
90093,0,0.069269464,64,0,1496,,10,0,1,0,0
113535,0,0.339150986,45,0,0.45627867,6975,5,0,2,0,2
94621,0,0.220717458,44,0,0.238657962,12100,11,0,2,0,4
25339,0,0.254711418,51,0,0.14938589,3500,4,0,0,0,3
23418,0,0.874520913,36,0,0.999107939,1120,5,0,1,0,2
569,0,0.584844623,60,0,0.293637575,6003,11,0,1,0,0
15382,0,0.449475501,45,1,1668,0,4,2,0,0,3
99571,0,0,45,0,6636,,7,0,4,0,0
71545,0,0.9999999,35,0,199,,0,0,0,0,0
148026,0,0.15530654,54,0,0.529411765,6272,9,0,1,0,1
130510,0,0.54251227,36,0,1.630842289,4000,24,0,3,0,0
27282,0,0.862713729,25,0,0.274362819,2000,3,0,0,0,0
26970,0,0.148928192,49,0,0.474694939,4998,11,0,1,0,4
74730,0,0.9999999,55,0,688,,3,1,2,3,0
119663,0,0.73166997,49,0,0.367964956,10500,17,0,1,0,1
128044,0,0.9999999,52,0,0.365572894,43000,8,0,4,0,2
82423,0,0.046501546,74,0,0.0057946,8110,5,0,0,0,0
26774,0,0.014452856,88,0,19,,5,0,0,0,0
33439,0,0.9999999,52,0,0.165813715,18562,4,0,1,0,4
114181,0,0.039401809,59,0,1625,,8,0,1,0,0
130235,0,0.021533657,66,0,0.270169632,7250,6,0,1,0,0
55914,1,0.870594073,51,0,2103.5,1,7,0,1,0,1
128276,0,0.188553289,58,0,0.835147332,3766,8,0,2,0,0
53742,0,0,71,0,0.219830899,1300,9,0,0,0,0
21294,0,0.029217916,77,0,0.115512808,10500,16,0,2,0,0
142221,0,0.702765745,41,0,0.078344314,6981,3,0,0,0,0
111438,0,0.63180982,41,0,0.8564901,5908,12,0,2,0,2
142969,1,0.09776226,79,1,0.442852491,3070,11,0,2,0,1
78556,0,0.385762121,51,0,0.56694287,2292,8,0,1,0,0
95812,0,0.95910409,58,0,0.24572345,5611,10,0,0,0,0
47083,0,0.555622222,56,0,0.736144316,4600,7,0,1,0,1
71971,0,0.073863116,68,1,0.020686089,5800,6,0,0,0,0
52538,0,0.088628469,78,0,0.366589327,861,6,0,1,0,1
114697,0,0.052265003,77,0,648,,11,0,1,0,0
62473,0,0.129149902,49,0,0.253132832,9176,5,0,1,0,0
129138,0,0.033164228,41,0,0.238095238,8000,9,0,1,0,1
82744,0,0.688049979,48,1,0.509629509,12253,11,0,3,0,2
111046,0,0.478610339,35,0,0.631812055,5192,8,0,4,0,1
4018,0,0.058741376,68,0,0.493638677,22400,15,0,2,0,1
112660,0,0.810021588,55,1,0.135413096,5833,4,0,0,1,0
43602,0,0.252177649,68,0,0.115376925,5000,14,0,0,0,0
41020,1,0.077682834,61,0,0.684303351,1700,13,0,1,1,0
22111,0,0.54213082,35,0,0.534910166,4396,4,0,2,0,0
57161,0,0.685732992,65,3,0.491535671,6615,19,8,2,1,0
119708,0,0.363246347,61,0,0.128885657,5500,5,0,0,0,0
100151,0,0.655100089,62,1,638,,5,0,0,1,0
51644,0,0.024384874,62,0,1002,,11,0,1,0,0
134040,0,1.005912529,63,2,0.655241487,4492,8,0,2,0,0
116091,0,0.031528491,68,0,68,,9,0,0,0,1
17919,0,0.018432413,49,0,0.258977798,6710,13,0,2,0,2
149837,0,0,32,0,0.322483143,4300,9,0,1,0,1
31408,0,0.9999999,85,0,0.382130763,3838,3,0,1,0,0
42635,0,0.052907668,30,0,0.520368947,1300,8,0,1,0,1
111368,0,0.9999999,28,0,0.028017241,2319,0,0,0,1,2
72602,0,0.834116588,38,0,0.272944337,6700,4,0,1,0,3
145618,0,0.740684603,56,0,0.194655813,5650,5,0,0,0,1
112111,0,0.9999999,22,98,0,0,0,98,0,98,0
37011,0,0.379191481,47,0,0.725897263,46000,16,0,1,0,2
17173,0,0.041247938,35,0,24,,3,0,0,0,
79540,0,0.975024442,41,3,0.974304069,1400,8,0,1,1,0
65045,0,0.237288136,45,0,0.046784174,10665,3,0,0,0,4
87544,0,0.289182506,46,0,3133,,6,0,2,0,0
71031,0,0.024171949,76,0,0.120488617,1800,11,0,0,0,0
107874,0,0.873563218,39,0,0.641274986,1850,8,0,0,0,2
140164,0,0.112078544,51,0,0.135499354,5416,11,1,0,0,2
36454,0,0.184605918,29,0,0.533366658,4000,5,0,1,0,0
144091,0,0.017710182,80,0,55,,16,0,0,0,0
77967,0,0.600739926,61,0,0.758659852,1760,5,0,1,0,1
140697,0,0.005639774,48,0,3546,,10,0,2,2,0
68193,0,0.027720817,58,0,0.546917808,5839,8,0,3,0,0
144298,0,1.008799413,49,0,3942,,10,0,1,0,0
82042,0,0.772713028,47,0,5386,,13,0,2,0,0
146920,0,0.9999999,31,0,0.153767299,1950,1,0,1,0,0
14719,0,0.461077844,26,0,0.199127907,1375,2,0,0,0,0
114452,0,0.965251737,52,0,0.128110037,21301,5,0,2,0,1
18240,0,0.067839508,72,3,0.021244689,4000,7,0,0,0,0
81977,0,0.003999886,48,0,4371,,10,0,4,0,0
93306,0,0,24,0,0,0,1,0,0,0,0
142842,0,0.602492116,50,0,0.375253234,6416,9,0,2,0,2
49098,0,0.434144535,49,0,0.620475905,5000,9,0,2,0,0
47735,0,0.026435529,78,0,2295,,8,0,1,0,0
63257,0,0.459108178,35,0,0.294907841,3200,4,0,1,0,3
14614,0,0,47,0,0.963678774,3000,12,0,3,0,0
142037,0,0.138401932,62,0,1.03814965,5425,16,0,7,0,0
64836,0,0.415056629,29,2,0.34122288,2534,9,2,0,2,0
9208,0,0.0023529,72,0,1606,,5,0,2,0,
114440,1,0.148034162,78,0,0.469932867,7000,12,0,1,0,0
141406,0,0,42,0,0.019939717,8625,9,0,0,0,0
129882,0,0.050801304,66,0,0.136996904,5167,7,0,0,0,0
66097,0,0.008578797,38,0,0.375507323,5666,7,0,1,0,0
138127,1,0,41,0,0.250774923,10000,7,0,2,0,3
34760,0,0.9999999,69,0,0.372444444,2249,3,0,0,0,0
95642,0,0.745093532,31,0,0.571154308,4166,11,0,1,0,0
21546,0,0.128954066,44,0,0.19487909,7029,5,0,1,0,1
78656,0,0.033821471,73,0,0.01139772,5000,9,0,0,0,0
92456,0,0.397205589,23,0,0.004541326,1100,2,0,0,0,0
36756,0,0.178287859,54,1,0.521800852,4930,16,0,1,0,1
78442,0,0.007895749,60,0,0.043590345,8533,4,0,0,0,0
113285,0,0.144304869,76,0,0.041530945,3683,4,0,0,0,0
45662,0,0.075879873,50,0,1792,,4,0,1,0,0
80179,0,0.831916916,63,0,0.322139789,15365,15,0,2,0,0
66147,0,1.672150411,60,4,43,,3,0,0,0,0
135486,0,0,52,0,0.346930614,5000,7,0,2,0,1
24043,0,0.085806042,76,0,0.034727703,3800,6,0,0,0,1
108742,0,0.06253264,44,0,0.46486738,6446,11,0,2,0,0
47525,0,0,69,0,0,,3,0,0,0,
62703,0,0.9999999,43,0,0,,2,0,0,0,0
48511,0,0.199432555,52,0,0.293202106,4368,11,0,1,0,3
43042,0,0.018954115,73,0,0.007496252,3334,5,0,0,0,0
62044,0,0.053245563,30,0,0.072505999,5833,3,0,0,0,0
60183,0,0.028082183,72,0,0.088782244,5000,9,0,1,0,1
80777,0,0.176308775,50,0,0.355537613,7430,9,0,1,0,0
28827,0,0.001742014,50,0,0.000272702,11000,15,0,0,0,2
106444,0,0.9999999,60,0,0.372321854,6300,4,0,2,1,1
32696,1,0.9999999,50,1,0.372446762,2300,2,4,1,0,0
81005,0,0.168567616,50,0,0.469066367,5333,15,0,1,0,2
119536,0,0.006818106,51,0,0.374577778,11249,17,0,1,0,1
114043,0,0.03517931,30,0,0.295262115,5550,9,0,2,0,0
32358,0,0.229786374,53,0,1805,,4,0,1,0,
118773,0,0.051431737,51,0,0.290280262,8384,12,0,1,0,0
26820,0,0,55,0,0.0039996,10000,3,1,0,0,0
86291,0,0.023058267,59,0,0.200376884,6367,8,0,0,0,1
28176,0,0.828627697,44,0,1.198987662,3160,11,0,2,0,0
135096,0,0.201542637,43,0,0.099977278,4400,6,0,0,0,2
72182,0,0.24954699,52,0,0.333523782,7000,10,0,1,0,2
49947,1,0.884322479,35,1,0.281430826,1900,6,0,0,0,1
65785,1,0.9999999,24,1,0.037912673,4694,1,2,0,0,0
77712,0,1.013062409,32,0,0.900271985,2205,5,0,1,0,3
81862,0,0.274970005,82,0,0.05880444,15406,14,0,0,0,0
4811,0,0.128178988,46,0,0.054868141,8000,8,0,0,0,1
36195,0,0.036191776,56,1,1431,,13,0,1,0,
103433,0,0,42,1,0.028526461,5082,5,1,0,0,2
86724,0,0.05114506,60,0,0.078303426,5516,11,0,0,0,1
148011,0,0,73,0,5110,,5,0,1,0,0
80587,1,0,36,1,0.680088864,3600,7,0,2,0,0
103942,0,0.285331946,30,0,0.076923077,4666,10,0,0,0,0
12329,0,0.400574928,32,0,0.305551112,6250,3,0,1,0,3
121175,0,0.898870252,89,1,0.508121212,8249,17,0,1,0,1
17973,0,0.0795554,61,0,821,,4,0,1,0,0
48836,0,0.578868187,47,0,0.973141786,1600,10,0,1,0,1
20493,0,0,66,0,0,,4,0,0,0,0
22215,0,0.9999999,38,0,1.129948021,2500,5,0,2,0,2
73416,0,0.272151731,45,0,0.270490215,5160,6,0,0,0,3
2575,0,0.035718571,53,0,0.399009618,10500,10,0,2,0,1
130295,0,0.064365418,61,1,0.369648808,3900,10,0,1,0,0
147065,0,0.9999999,30,0,11,,2,1,0,0,0
125079,0,0,75,0,1239,,5,0,1,0,0
112531,0,0.312818528,58,0,1.079596977,3969,10,0,1,0,0
62242,0,0.53302518,63,0,4400,,17,0,2,0,0
49980,0,0.040051889,79,0,0.004582379,4800,6,0,0,0,0
139316,0,0.051077182,77,0,0.081798483,1845,11,0,0,0,0
27028,0,0.006015218,56,2,0.516328586,6950,12,0,3,0,5
81131,0,0.147369617,28,0,0.325053014,3300,5,1,0,0,0
14792,0,0.058178383,71,0,0.137954015,3000,13,0,0,1,0
104390,0,0.009901956,46,0,1228,,6,0,1,0,0
87040,0,0.02924099,61,0,2097,,7,0,1,0,3
139879,0,0.173589313,45,0,0.172890278,6078,12,0,0,0,1
58686,0,0.165467921,58,0,2520,,17,0,2,0,0
106892,0,0.011134357,56,0,1474,,8,0,1,0,1
89860,0,0.021195077,68,0,0.529029995,5700,12,0,2,0,0
131046,0,0.9999999,29,0,0.023932142,3300,3,0,0,0,0
145571,0,0.290905974,49,0,0.152373418,6319,10,0,0,0,1
136418,0,0.312066844,66,1,0.501363388,5500,17,0,2,0,1
113107,0,0.958809908,65,0,0.683172656,2281,11,0,2,0,0
53724,0,1.00501536,79,0,0.564794339,2260,4,0,1,0,1
145779,0,0.193598681,40,0,0.218363589,3800,11,0,0,0,1
148438,0,0.275114794,57,1,0.321380244,4433,24,0,0,0,0
96425,0,0.161825835,62,0,0.421047043,9416,18,0,2,0,1
75846,0,0.022850984,35,0,2043,,7,0,1,0,
83442,0,0.345498718,57,0,0.376659564,6100,11,0,2,0,1
131861,0,0.222108266,59,0,0.18062281,25400,10,0,1,0,1
89180,0,0.001445003,40,1,0.413917217,5000,5,0,2,0,0
47690,0,0.019865807,57,0,0.490733877,1348,6,0,0,0,0
144187,1,0.9999999,41,1,0.402998637,2200,3,1,1,1,1
15621,0,0.00960577,42,0,0.418516297,5000,6,0,1,1,2
15719,0,0.064326056,48,0,0.317306891,12000,8,0,2,0,1
6830,0,0.084459821,74,0,0.328477578,3500,16,0,2,0,0
130676,0,0.9999999,56,0,0.835407467,2490,3,0,2,0,0
79704,0,0.968809571,51,0,0.339403974,5435,8,0,0,0,1
148093,0,0.360575274,79,1,0.398769336,11700,14,0,1,0,0
85731,0,0.159627135,57,0,0.27504056,11710,18,0,1,0,0
41234,0,0.062475777,78,0,24,,1,0,0,0,
15181,0,0.004369946,60,0,0.006372226,4550,5,0,0,0,2
118749,0,0.011610896,62,0,0.004614201,3900,5,0,0,0,0
144997,1,0.895956295,42,1,2356,,9,0,0,0,
143704,0,0.003180581,73,0,5,,10,0,0,0,0
25585,0,0.005175575,77,0,0.323513658,5600,9,0,2,0,0
112966,0,0.519881668,63,0,4413,,15,0,2,0,2
149035,0,0.392474096,29,0,0.171253823,4250,7,0,0,0,0
42355,0,0.244217928,55,0,0.25798053,8833,6,0,2,0,1
34229,0,0.043332088,73,0,1045,,7,0,1,0,0
83272,0,0.200032727,47,0,0.11621529,5833,15,0,0,0,1
70703,0,0.689510998,85,1,0.20751465,2900,8,1,1,0,1
56997,0,0.406931602,55,1,0.299503274,8857,5,0,2,0,0
97722,0,0.986168972,30,0,0.097508459,3250,6,0,0,0,0
90360,0,0.008666254,29,0,1768,,7,0,2,0,
125122,0,0.037780966,71,0,0.230968858,3467,8,0,0,0,0
60922,1,0.391962971,42,0,1.180577594,3150,16,0,2,0,2
57323,0,0,50,0,0.460134966,4000,6,0,1,0,2
68772,0,0.059529919,79,0,0.325069972,2500,14,0,1,0,0
