SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30.59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60.89DaysPastDueNotWorse,NumberOfDependents
n,0,51,0,2400,0,10,0,1,0,0
n,0.64706866,61,0,0.54276194,2700,9,0,2,0,0
n,0.008993549,68,0,22,,11,0,0,0,0
n,0.205574364,83,0,122,,5,0,0,0,0
n,0.233876612,55,0,0.058284763,1200,1,0,0,0,0
n,0.004601917,89,0,0.002349256,1276,5,0,0,0,0
n,0.282686925,40,0,0.008396641,2500,2,0,0,0,0
n,0.026997546,52,0,0.9920016,5000,9,0,3,0,0
n,0.01615684,69,0,0.113472746,2916,8,0,1,0,0
n,0.4511298,62,0,0.57693533,9416,17,0,2,0,2
n,0,79,0,0.140747577,2166,7,0,0,0,0
n,0.028702666,74,0,0.057594784,8281,7,0,0,0,0
n,0,54,0,0,1000,2,0,0,0,0
n,0.999350032,64,0,0.426605872,12500,7,0,2,0,0
n,0.085216632,72,0,0.235944022,4072,4,0,1,0,0
n,0.213572854,51,0,0.059008655,5083,2,1,0,0,2
n,0.031637161,45,0,0.55873204,6750,16,0,4,1,4
n,0.9999999,52,1,0.160593357,3100,1,1,0,0,2
n,0.015578908,43,0,0.498984624,10340,17,0,6,0,1
n,0.071912231,48,0,0.270363951,7500,5,0,2,0,4
n,0,68,1,0.396731534,9300,10,0,4,0,0
n,0.260348142,52,0,4951,,7,0,3,0,0
n,0.771414586,51,0,0.124975005,5000,6,0,0,0,0
n,0.03779622,25,0,0.151670951,3500,3,0,0,0,0
n,0.03175485,58,0,0.117510599,12500,11,0,0,0,0
n,0.9999999,37,0,0.275538287,6176,3,0,1,0,0
n,0.076684532,69,0,0.614405817,4400,14,0,1,0,0
n,0.013787367,64,0,0.314365999,2846,18,0,2,0,0
n,0.066087741,86,1,92,,8,0,0,0,
n,0.078767264,70,0,0.152392702,15400,7,0,2,0,1
n,0.819436113,42,0,0.325430576,9405,6,0,1,0,1
n,0.133595142,49,0,0.417716457,5000,7,0,2,0,2
n,0.944738296,59,1,0.845607575,3801,9,0,2,0,0
n,0.001296176,60,0,470,,9,0,0,1,0
n,0.014779711,76,0,0.00919794,5435,14,0,0,0,0
n,0.817653495,57,0,0.358853317,11650,15,0,2,0,1
n,0.207107988,74,0,0.636558372,2800,12,0,1,1,0
n,0.021928086,52,0,0.590568239,6000,14,0,2,0,3
n,0.351911099,50,0,2739,0,10,0,2,0,0
n,0,64,0,0.234362874,6442,5,0,1,0,0
n,0,86,0,0,,4,0,0,0,0
n,0.02642294,49,0,0.139212776,14150,10,0,1,0,0
n,0.9999999,30,0,0.14379085,3671,2,0,0,0,1
n,0.462222039,41,1,0.260132151,28300,13,0,3,0,4
n,0,65,0,1834,0,9,0,3,0,0
n,0.9999999,43,0,0,2080,0,0,0,0,2
n,0.457032687,74,0,0.540584416,3695,14,0,1,0,1
n,0.133928869,44,1,0.367542028,9100,7,0,3,0,2
n,0.167156024,69,0,0.370827819,6800,15,0,1,0,1
n,0.060705824,83,0,0.03062302,1893,3,0,0,0,0
n,0,46,0,0.159195596,8900,6,0,1,0,0
n,0.182759412,77,0,166,,4,0,0,0,0
n,0.25254949,75,0,495,,9,0,1,0,0
n,0.5047196,26,0,0.010380623,2600,1,0,0,0,2
n,0.016507656,67,0,0.221561531,3867,11,0,1,0,0
n,0.450861729,24,0,0.941176471,900,3,0,0,0,0
n,0.307969692,53,1,0.936531734,2000,10,0,1,0,0
n,0.009831088,74,0,0.00359928,3333,6,0,0,0,0
n,0.201578192,25,0,0.276702061,1600,4,0,0,0,0
n,0.953370953,32,0,0.407847576,5300,7,0,2,0,2
n,0.043845066,55,0,0.490809416,3100,12,0,2,1,0
n,0.025935879,44,0,0.201107011,5961,6,0,1,0,0
n,0.416436106,63,0,0.550293926,3061,28,0,0,0,0
n,0.475557515,32,0,0.715889863,6500,17,1,3,0,0
n,0.047065098,82,1,0.004581652,9166,2,0,0,0,0
n,0.0447359,61,0,0.057328237,11250,4,0,0,0,2
n,0.217281718,38,0,0.116202587,4560,6,0,0,0,2
n,0.496025902,72,0,0.785076758,2800,11,0,1,0,0
n,0.279175258,51,0,0.257536737,6600,6,0,2,0,2
n,0.188905547,24,0,0.061128527,1275,3,0,0,0,0
n,0.004137882,72,0,0.001451379,6200,15,0,0,0,0
n,0.00359976,32,1,0.000238039,4200,4,2,0,0,0
n,0.104895105,26,0,3,0,1,0,0,0,0
n,0.044383226,71,0,0.001606684,9335,6,0,0,0,0
n,0.405403475,71,1,3.114885115,1000,13,0,2,1,0
n,0.003023014,68,0,1747,,13,0,1,0,0
n,0.027760266,57,0,962,,9,0,2,0,0
n,0.000857129,52,0,0.229233173,14722,8,0,2,0,2
n,0.093928704,55,0,0.073309921,6833,21,0,0,0,1
n,0.083772531,59,0,0.029653127,14500,6,0,0,0,1
n,0.050734989,60,0,0.097978227,4500,6,0,0,0,0
n,0.024919793,45,0,0.498416719,4736,16,0,2,0,4
n,0.006091119,85,0,0.029616227,10500,17,0,0,0,0
n,0.669170259,48,0,0.572879009,13000,9,0,4,0,0
n,0.356782511,53,0,0.418175147,8175,11,0,2,0,0
n,0.984448557,46,0,0.810253138,4700,10,0,2,0,4
n,0.895835813,65,0,3.787535411,2470,17,0,0,0,0
n,0.354331402,44,0,0.937594668,3300,11,0,1,0,2
n,0.843130447,39,0,0.462589568,6000,8,0,2,0,2
n,0.9999999,62,1,0.60013844,4333,10,0,2,0,2
n,0.04093794,46,0,0.273280802,5583,7,0,2,0,0
n,0.740599714,26,0,0.228855721,200,1,0,0,0,0
n,0.144448889,49,0,0.346786656,11000,12,0,2,0,1
n,0.776684962,47,3,1.137135474,5417,20,0,4,0,3
n,0.60309155,70,0,1124,,26,0,0,0,0
n,0.00201,46,0,0.231316199,13500,13,0,2,0,1
n,0.162324144,46,0,0.189245375,14430,13,0,1,0,3
n,0.145330104,53,1,0.399970493,6777,11,0,2,0,2
n,0.9999999,70,0,0,,1,0,0,0,0
n,0.792618863,74,0,0.433365759,2055,4,0,0,0,1
n,0.057823696,25,0,0.589543938,898,4,0,0,0,0
n,0.040748302,61,0,0.255437228,6666,6,0,1,0,0
n,0.041342402,55,0,0.37110104,3750,12,0,0,0,0
n,0.117485314,53,0,0.328026657,2700,7,0,1,0,1
n,0.959221501,65,1,0.327892267,4900,7,2,0,1,1
n,0.052267443,61,0,0.012951148,10500,10,0,0,0,0
n,0,35,0,0.28915381,12833,8,0,2,0,2
n,0.014590203,61,0,0.133606323,10500,12,0,1,0,0
n,0.165241024,46,0,0.271859349,19167,15,0,3,0,1
n,0.066286186,38,0,0.187007496,15608,20,0,1,0,0
n,0.257603595,57,0,0.313247307,8446,25,0,3,0,2
n,0.520903866,35,0,0.586926043,5705,13,0,2,0,2
n,1.014383509,68,0,559,,5,0,0,0,0
n,0.010941033,47,0,0.416141176,21249,11,0,3,0,2
n,0.000918349,62,0,0.001690005,4141,5,0,0,0,0
n,0.034399595,86,0,0.172830725,4217,13,0,1,0,0
n,0.352677702,63,0,0.555670458,2900,5,0,1,0,0
n,0.006642344,45,0,0.000893805,17900,6,0,0,0,0
n,0,64,0,0,2765,4,0,0,0,0
n,0.9999999,42,0,0.385316087,5488,7,0,3,0,2
n,0.024807455,78,0,16,,3,0,0,0,
n,0.461393179,63,0,0.23364033,4125,5,0,1,0,0
n,0.816636673,25,0,0.312306594,4200,7,0,0,0,0
n,0.649223385,32,2,0.283633248,3500,8,0,0,0,0
n,0.661481592,58,0,0.660599846,3900,9,0,2,0,1
n,0.159603107,42,0,0.213430602,5345,4,0,1,0,0
n,0.203334172,38,0,0.350108315,6000,16,0,1,0,3
n,0.45536023,65,0,0.804507145,5457,15,0,2,0,0
n,0.029731825,35,0,405,,6,0,0,0,
n,0.184961618,50,0,0.048590282,5000,7,0,0,0,0
n,0.078515888,71,0,622,,4,0,0,0,0
n,0.023899403,58,0,0.119847812,4730,4,0,0,0,1
n,0.460477068,42,2,0.204465922,6000,10,0,0,0,1
n,0,37,0,0.533362599,6833,10,0,2,0,0
n,0.017653167,41,0,0.326697892,7685,6,0,2,0,2
n,0.372062551,60,0,0.189615584,13500,8,0,0,0,0
n,0.359021689,49,0,0.209498516,6400,4,0,2,0,1
n,0.000557359,47,1,0.367329084,8000,12,0,1,0,2
n,0.9999999,34,0,0.127229955,5100,4,0,0,0,2
n,0.605339466,45,0,0.474274567,4100,4,0,1,0,2
n,0.598322383,49,1,0.406291479,7533,6,0,2,0,0
n,0.372315506,41,0,0.225844005,7730,6,0,0,0,5
n,0.036121111,49,0,67,0,12,0,0,1,0
n,0.033803229,29,0,0.01211387,1650,2,0,0,0,0
n,0.179875299,36,2,0.159537572,3459,9,0,0,1,1
n,0.045638557,48,0,0.224317181,5674,17,0,1,0,1
n,0.190333699,56,0,0.502496434,2803,6,0,1,0,0
n,0.045838166,60,0,34,,1,0,0,0,0
n,0.014460224,54,0,0.005533295,5240,8,0,0,0,2
n,0.042038465,64,0,0.534552299,3718,13,0,2,0,1
n,0.001826064,88,0,0.04065989,6000,7,0,0,0,1
n,0.027266838,83,0,0.00367165,7625,7,0,0,0,0
n,0.019785038,58,0,1328,,6,0,1,0,2
n,0.050736924,66,0,0.253236862,2625,6,0,1,0,0
n,0.9999999,38,0,0.00893504,4140,0,0,0,0,2
n,0.9999999,24,0,0,1,1,0,0,0,0
n,0.045628792,46,0,0.030847155,46000,10,0,1,0,0
n,0.717780516,49,0,1.079984003,5000,6,0,1,0,2
n,0.00057876,75,0,0.556772197,4200,12,0,1,0,1
n,0.391456013,58,0,2511,,6,0,1,0,1
n,0.090162688,56,0,0.816079415,9166,6,0,1,0,0
n,0.006317191,72,0,0.151348651,2001,8,0,1,0,1
n,0.027104137,42,0,0.220391123,4550,3,0,0,0,3
n,0.47758806,55,0,0.047879844,12050,5,0,0,0,0
n,0.068941744,68,0,0.285955056,1779,2,0,0,0,2
n,0.421479826,61,0,0.316349325,9400,8,0,2,0,0
n,0.018121029,70,0,0.005776246,9867,10,0,0,0,0
n,0.108033601,48,5,0.419450125,4400,23,0,1,2,0
n,0.03812344,54,0,0.056924937,10750,11,0,0,0,0
n,0.269178222,49,0,0.367726455,5000,15,0,2,0,0
n,0.204718113,47,1,0.294573643,3998,5,0,1,0,1
n,0.663116112,33,0,0.278607587,16000,9,0,1,0,2
n,0.094446126,66,0,0.216727195,18723,8,0,3,0,0
n,0.52003478,26,0,0.302599422,4500,5,0,0,0,0
n,0.810419734,55,0,0.731856246,5731,18,0,2,0,0
n,0.06288686,60,0,0.385190726,4010,11,0,2,0,0
n,0.008897596,82,0,823,,9,0,1,0,0
n,0.00029786,32,0,0.372587633,2538,4,0,1,0,2
n,0.9999999,24,0,0,,0,0,0,0,0
n,0.022895238,51,0,0.323938297,5250,15,0,1,0,0
n,0.537929479,25,0,0.337110482,3176,9,0,0,0,0
n,1.039488672,31,0,0.386522695,5000,5,0,2,0,0
n,0.382553201,46,0,4158,,11,0,2,0,0
n,0.965595188,69,0,12.71013932,2583,14,0,1,0,0
n,0.163042162,68,0,0.419746174,10715,8,1,2,0,0
n,0,44,0,0.505399568,4166,6,0,2,0,1
n,0.133361616,37,0,0.541721224,8400,20,0,2,0,1
n,0.489003953,54,0,0.462153785,10000,11,0,3,0,2
n,0.045207255,52,1,0.265530369,11557,10,0,1,0,5
n,0.435573474,54,0,0.792882847,2500,10,0,1,0,2
n,0.006543477,52,0,3265,,8,0,2,0,0
n,0.706165877,44,1,1.110480069,9331,9,0,4,0,4
n,0.002285388,30,0,0.002249719,8000,3,0,0,0,0
n,0,82,0,48,,2,0,0,0,0
n,0.750729065,68,0,0.18206992,2888,9,0,1,0,0
n,0.381524341,60,0,2674,,10,0,2,0,0
n,0.593317765,62,2,0.626392459,3500,22,0,1,0,0
n,0.096536409,66,0,0.310991637,8369,15,0,2,0,2
n,0.010699151,63,0,0.361430396,5480,17,0,1,0,0
n,0.012054886,61,0,0.318564987,5100,2,0,1,0,0
n,0.086521769,69,0,37,,6,0,0,0,0
n,0.173592,41,0,0.452241195,3747,9,0,2,0,0
n,0.006742906,53,0,0.239697059,10166,9,0,1,0,0
n,0.540241026,55,0,0.242739029,4716,5,0,1,0,0
n,0.236422594,48,0,3148,,9,0,1,0,3
n,0.02364337,54,0,467,0,9,0,0,0,0
n,0,43,0,0.418045471,8400,15,0,3,0,1
n,0.170331867,27,1,0.271853987,1040,4,0,0,0,0
n,0.327420547,41,0,0.435112977,5000,4,0,1,0,0
n,0.411698538,56,4,0.139339087,4750,9,0,1,0,0
n,0.750015822,43,0,0.284294716,4125,5,0,0,0,0
n,0.106851436,59,0,0.976374375,2200,13,0,2,0,0
n,0.023285899,47,0,0.347519549,7800,7,0,1,0,0
n,0.056696613,44,0,0.076757422,6500,4,0,0,0,3
n,0.057002077,45,1,0.339176372,8328,5,0,1,0,2
n,0.609439056,80,0,3.96925859,2764,13,0,6,0,0
n,0.13659317,55,0,2553,,5,0,2,0,0
n,0.213865802,63,0,0.223555338,4083,21,0,0,0,0
n,0.365592655,28,0,0.413793103,2000,8,0,1,0,0
n,0.9999999,47,4,705,0,4,0,0,0,0
n,0,50,0,1524,,9,0,1,0,3
n,0.028229872,85,0,1.023313905,1200,12,0,1,0,0
n,0.9999999,51,0,1049,,1,0,1,0,0
n,0.662933707,39,0,198,,1,0,0,0,0
n,0.012827081,68,0,0.336491046,7705,14,0,1,0,0
n,0.87678673,59,0,1.438875306,1635,8,0,1,0,3
n,0.010851591,79,1,0.005387535,8166,16,0,0,0,0
n,0.006430509,66,0,0.174647261,9000,22,0,1,0,0
n,0.0059988,38,0,0.526315789,9100,8,0,4,0,3
n,0.007220849,32,0,1.029180328,3049,14,0,2,0,0
n,0.02446634,77,0,0.005788864,9500,12,0,0,0,0
n,0.014334747,70,0,34,,8,0,0,0,0
n,0.03744063,38,0,0.223253371,5710,20,0,1,0,0
n,0.9999999,69,0,0.139753802,29000,10,0,2,0,0
n,0.510372536,65,1,4695,,20,0,3,0,0
n,0.035667483,45,0,0.459016393,5367,16,0,1,0,6
n,0.490787513,89,0,0.189415042,9333,8,0,0,0,0
n,0.077099143,52,0,0.49214778,8850,11,0,3,0,1
n,0.911087306,67,0,0.050649783,3000,4,0,0,0,1
n,0.016178586,39,0,0.453692681,21000,17,0,2,0,2
n,0.081946278,39,0,0.334444259,6000,5,0,2,0,0
n,0.064583144,47,0,0.409843351,9000,12,0,2,0,1
n,0.78090758,37,0,0.245085431,5442,7,0,0,0,0
n,0.064771661,60,0,0.259104228,7166,19,0,1,0,0
n,0,38,0,1612,,5,0,1,0,0
n,0.028127218,42,1,0.468236053,3100,9,0,1,0,0
n,0.051647418,67,0,165,,2,0,0,0,0
n,0.020226813,65,0,0.008330556,3000,5,0,0,0,0
n,0.029477172,65,0,0.270339732,12450,5,0,1,0,1
n,0.695781037,42,0,0.28953945,2800,9,0,0,0,0
n,0.004831425,62,0,0.205622696,11666,13,0,1,0,0
n,0.039829544,52,0,0.178637748,13462,7,0,1,0,4
n,0.033826325,44,2,0.637034933,14083,13,0,4,0,2
n,0.371144652,39,0,0.444759207,6000,14,0,2,0,1
n,0.032381401,43,0,0.28405863,8800,5,0,1,0,0
n,0.669204786,52,0,0.968010663,3000,13,0,1,0,1
n,0.183282563,43,0,0.552118039,2100,7,0,1,0,0
n,0.973335873,53,0,0.396416977,8316,14,0,2,0,2
n,0.0559986,73,0,0.087591241,6027,5,0,0,0,1
n,0.014408979,57,0,0.459764554,6200,26,0,2,1,0
n,0.031635414,47,0,1724,,15,0,1,0,0
n,0.425487642,47,0,0.510808494,10500,18,0,2,0,0
n,0.004208009,54,0,1008,,11,0,0,0,1
n,0.093036672,58,0,0.223561487,6968,6,0,1,0,0
n,0.025286285,62,0,0.007786429,5393,6,0,0,0,2
n,0.528318625,52,0,0.877094972,3400,19,0,1,0,0
n,0.219751775,34,0,0.244682257,7568,9,0,1,0,4
n,0.024627756,89,0,0.005135176,6620,3,0,0,0,0
n,0.032136459,73,0,77,,12,0,0,0,0
n,0.007867045,34,0,0.004799302,2291,4,0,0,0,0
n,0,82,0,2,,9,0,0,0,
n,0.028694266,44,0,2727,,4,0,1,0,0
n,0.197116058,44,0,3616,,12,0,1,0,0
n,0.461727384,86,0,67,,1,0,0,0,0
n,0,56,0,902,,8,0,1,0,0
n,0.092921647,54,0,0.085311871,7454,14,0,1,0,1
n,0.9999999,61,0,0,,2,0,0,0,
n,0.753974868,41,0,341.5,1,8,0,0,0,0
n,0.00504304,99,0,800,,5,0,0,0,
n,0.054102491,71,0,0.265173483,10000,6,0,3,0,1
n,0.9999999,60,1,59,,0,0,0,0,
n,0.076423234,49,0,0.445435034,6056,7,0,1,0,2
n,0.922589784,45,0,0.313124584,1500,3,0,0,0,2
n,0.195583683,43,0,0.329858379,5083,9,0,1,0,0
n,0.005564734,34,0,0.686375321,3500,6,0,1,0,0
n,0.960431398,63,0,0.31506036,5052,3,0,1,0,1
n,0.057262353,64,0,0.72735761,4283,9,0,2,1,0
n,0.018469417,65,0,0.007058824,5099,4,0,0,0,0
n,0.059609966,46,0,0.191974823,5083,7,0,1,0,0
n,1.316984559,44,1,0.019553073,2147,4,0,0,0,1
n,0.120050132,60,0,0.507904337,7400,6,0,2,0,0
n,0.306709918,46,0,0.25574885,5000,6,0,0,0,1
n,0,79,0,76,,5,0,0,0,0
n,0.015022816,75,0,0.348440899,8273,14,0,2,0,0
n,0.015012759,72,0,0.079040226,4250,18,0,1,0,1
n,0.202742031,45,0,2544,,17,0,2,0,0
n,0.198490978,56,0,0.016372953,8000,2,0,0,0,3
n,0.354329134,50,0,0.352866444,6296,7,0,1,0,2
n,0.387215271,37,0,0.284518159,18750,12,0,1,0,2
n,0.044590351,36,0,0.217462299,10410,12,0,1,0,2
n,0.363873762,42,0,2368,,8,0,1,0,2
n,0,85,0,0,8499,3,0,0,0,0
n,0.268685177,34,0,0.330834583,2000,7,0,0,0,0
n,0.092821216,28,0,0.023961386,5800,5,0,0,0,0
n,0.018173109,77,0,0.238523852,3332,6,0,0,0,0
n,0.772768233,49,0,0.343838296,4600,10,0,0,0,1
n,0.164778868,81,0,0.36120745,7784,12,0,1,0,0
n,0.287770672,62,0,0.23927432,21000,10,0,2,0,0
n,0.184435702,59,0,0.062144268,8608,11,0,0,0,1
n,0.024567919,29,0,0.579032782,3080,8,0,2,0,1
n,0.125679169,57,2,2402,,14,0,1,0,0
n,0.131288192,30,0,0.238349342,8432,11,0,1,0,1
n,0.138330707,69,1,0.975163399,1529,6,0,1,0,0
n,0.9999999,61,1,0.245266964,4700,4,1,1,0,1
n,0.05673969,52,0,0.136723533,12250,4,0,1,0,2
n,0.229230831,84,0,171,,6,0,0,0,0
n,0.005257043,54,0,0.45703404,4200,15,0,2,0,0
n,0.003250984,76,0,0.103112111,2666,7,0,0,0,0
n,0.112752435,71,0,0.432288037,4304,9,0,2,0,0
n,0.57942647,41,0,4541,,8,0,2,0,0
n,0.04408497,57,0,0.318041464,6800,10,0,3,0,1
n,0.119949324,76,0,0.461008665,4500,6,0,1,0,1
n,0.018130289,52,0,0.333944343,6000,11,0,1,0,3
n,0.32521249,50,0,0.570905205,6550,12,0,3,0,1
n,0.042207063,55,0,0.018090193,7738,10,0,0,0,3
n,0.0179994,56,0,0.388064223,3300,4,0,2,0,1
n,0.336755441,33,0,0.260184152,7167,4,0,1,0,2
n,0,65,0,1988,,16,0,1,0,0
n,0.101717888,67,0,2369,,8,0,1,0,0
n,0.263048379,67,0,0.954204829,1200,3,0,1,0,1
n,0.052573232,73,0,0.125443405,3100,14,0,1,1,0
n,0.566744834,67,0,0.553423088,3490,15,0,1,0,1
n,0.060030307,58,0,0.325334333,8000,12,0,2,0,1
n,0.438401776,54,1,0.082788671,917,5,0,0,0,0
n,0.024930009,67,0,5,,3,0,0,0,
n,0.273451636,38,0,0.385415278,7500,7,0,1,0,0
n,0.024145236,54,0,1088,0,4,0,1,0,0
n,0.003401245,70,1,400,,6,0,0,0,0
n,0.9999999,41,0,0.406351073,3400,5,1,1,0,3
n,0.660115069,55,1,0.536632101,8871,11,0,2,0,1
n,0.016349183,47,0,0.13047277,10300,3,0,2,0,2
n,0.086500181,46,0,2496,,7,0,1,0,0
n,0.037850439,78,0,472,,3,0,1,0,0
n,0.598750069,56,1,4259,,8,0,2,0,0
n,0.987076588,40,0,0.268760908,5729,11,0,0,0,0
n,1.426533524,33,1,0.015417331,1880,2,0,0,1,0
n,0,26,0,405,,7,0,0,0,0
n,0.197752651,53,0,0.375202812,7395,17,0,2,0,2
n,0.028562367,51,0,0.306381499,5750,5,0,1,0,0
n,0.389826163,38,1,0.298280688,2500,4,0,0,0,0
n,0.023595281,24,0,523,,3,0,0,0,0
n,0.203431997,47,0,0.275613808,10833,13,0,2,0,6
n,0.372439396,55,0,0.340127992,12656,16,0,1,0,1
n,0.064450318,58,0,0.392151962,4000,11,0,1,0,1
n,0.376569038,37,0,1.707743547,1200,8,0,1,0,3
n,0.879729644,47,0,0.558868895,5834,8,0,3,0,2
n,0.880159787,40,0,0.054226475,1880,1,1,0,0,0
n,0.690782895,33,0,0.11806111,6250,7,0,0,0,1
n,0.048244493,62,0,0.262879153,16615,11,0,1,0,1
n,0.013559414,87,1,0.002360128,7202,7,0,0,1,0
n,0,24,0,0.630937881,820,4,0,0,0,0
n,0.535636781,28,0,0.580756807,4333,12,0,1,0,0
n,0.369631883,45,0,0.201161316,14982,14,0,0,0,1
n,0.045428054,36,0,0.351272016,1021,6,0,0,0,0
n,0.933275834,48,0,0.827038942,6804,10,0,1,1,1
n,0.003949803,43,0,0.57775541,5960,6,0,3,0,0
n,0.003422945,85,0,2,,4,0,0,0,0
n,0.000131824,46,1,0.043455313,5683,9,0,0,0,2
n,0.53682106,25,0,0.161810079,2916,4,0,0,0,0
n,0.204260297,51,1,2716,,11,0,1,0,1
n,0.015463064,58,0,0.240791756,9800,8,0,1,0,0
n,0.154145651,29,0,79,,2,0,0,0,
n,0.833804891,45,0,0.455499099,6100,11,0,1,0,1
n,0.00178456,78,0,0.000476145,10500,6,0,0,0,0
n,0.072771362,45,0,0.085157731,5800,6,0,0,0,0
n,0.697470446,44,0,1431,,9,0,1,0,3
n,0.035324725,48,0,0.286379873,6438,12,0,2,0,2
n,0,49,0,0.283546705,2108,5,0,0,0,0
n,0.130940567,41,1,998,,9,0,1,0,0
n,0.9999999,27,0,0.749562609,4000,5,0,1,0,1
n,0.9999999,38,0,1.174342844,4450,2,1,0,0,2
n,0.52512385,50,0,398,,5,0,0,0,0
n,0.004581652,89,0,0.000820793,3654,2,0,0,0,0
n,0.011628216,61,0,1506,,11,0,1,0,0
n,0.076643925,48,0,0.240116905,6500,6,0,1,0,3
n,0.022747547,69,0,1249,,7,0,1,0,0
n,0.544703355,34,3,0.39386871,3000,11,0,0,0,0
n,0.441231234,32,0,0.969128495,10980,18,0,5,0,0
n,0.023495337,48,0,0.119750214,8166,12,0,2,0,1
n,0.418104593,34,0,0.072824951,6700,5,0,0,0,0
n,0,45,0,12511,,12,0,7,0,0
n,0.030807986,36,1,0.278980014,7254,7,0,2,0,0
n,0.021471075,65,0,0.003721425,13166,5,0,0,0,1
n,0.464516129,39,1,0.421195127,5170,17,0,1,0,2
n,0.179496176,32,1,0.245921768,5700,10,1,0,0,0
n,0.117506954,74,0,0.090976113,6781,4,0,0,0,1
n,0.085826111,54,0,1552,,4,0,1,0,0
n,0.230073119,58,2,0.901610413,4532,18,0,1,0,0
n,0.550612274,40,1,0.166232262,17264,5,0,1,0,1
n,0.199055567,37,0,0.168970776,40000,8,0,2,0,2
n,0.514465018,66,0,1.125916056,1500,9,0,1,0,0
n,0.294317065,31,0,0.484128968,4000,7,0,1,0,1
n,0.911688217,41,0,0.810780875,5416,6,0,2,0,0
n,0.060043045,41,0,0.566234701,8333,10,0,1,0,1
n,0.115103934,56,0,0.262495818,14944,11,0,1,0,1
n,0.015111935,63,0,2225,,9,0,1,0,0
n,0.183090845,55,0,109,,1,0,0,0,0
n,0,59,0,0.346543857,11833,8,0,1,0,0
n,0.124718061,46,0,0.450556756,6016,13,0,1,0,3
n,0.040248994,58,0,0.434359379,3800,14,0,1,0,0
n,0.031042669,58,0,5013,,17,0,2,0,0
n,0,65,1,297,,7,0,0,0,0
n,0.443001086,57,1,0.770351328,3500,7,0,1,0,0
n,0.016422753,55,0,2076,,10,0,2,0,0
n,0.008978844,75,0,0.005664778,3000,10,0,0,0,0
n,0.9999999,62,0,0.136604775,3015,4,0,2,0,0
n,0.443296392,34,0,0.332271147,3451,5,0,0,0,3
n,0.072611522,35,0,0.311857958,7884,9,0,2,0,1
n,0.036506125,72,0,0.163844541,6200,14,0,1,0,0
n,0.013173337,46,0,0.382373947,7000,9,0,1,0,2
n,0.693061043,62,0,5020,,9,0,2,0,2
n,0.107759257,48,0,0.219403814,5400,4,0,1,0,3
n,0.894521336,59,0,0.62237034,4800,8,0,1,0,0
n,0.829567731,53,0,0.296282732,5460,4,0,0,0,0
n,0.33011555,70,0,0.383446621,2500,10,0,0,0,0
n,0.002268958,60,0,0.039090226,57200,15,0,2,0,1
n,0.549898699,42,0,512,,4,0,0,0,0
n,0.059382005,51,0,0.199219629,13326,9,0,1,0,0
n,0.992751812,55,0,0.122302158,972,1,0,0,0,0
n,0.087456676,59,0,0.371136791,7441,16,0,2,0,0
n,0,39,0,2383,,8,0,1,0,2
n,0.007584376,47,0,571,,7,0,0,0,0
n,0.000991365,79,0,1,,10,0,0,0,0
n,0.923407659,45,0,0.371303025,11833,7,0,1,0,3
n,0.403641166,52,0,509,,7,0,1,0,0
n,0.015271673,57,0,0.115562119,10833,9,0,2,0,3
n,0,58,0,0.150049564,19166,6,0,2,0,0
n,0.104386452,23,0,0.548279689,900,4,0,0,0,0
n,0.038390651,46,0,0.655768711,3700,8,0,2,0,2
n,0.055502723,59,1,0.146280493,11600,5,0,1,0,1
n,0.040988209,50,0,0.365071015,1900,6,0,1,0,2
n,0.896983107,33,0,0.531688643,4701,8,0,1,0,1
n,0.067282365,37,0,0.328150308,3086,8,0,1,0,0
n,0.9999999,23,0,0,,0,0,0,0,
n,0.725572371,53,0,0.946462436,6854,14,0,3,1,0
n,0.043186305,45,0,0.171342862,5666,8,0,1,0,3
n,0.217992765,42,0,0.421399702,4700,8,0,1,0,3
n,0.006743651,43,0,0.525821596,5750,5,0,1,0,2
n,0.025317349,70,0,0.223871367,4850,11,0,0,0,0
n,0,70,0,1089,,4,0,1,0,0
n,0.263849077,36,0,0.513923477,4416,5,0,2,0,0
n,0.058642025,49,0,0.124023743,3200,10,0,1,0,3
n,0.002437348,88,0,0.266518601,1800,5,0,1,0,0
n,0.017499702,81,0,35,,10,0,0,0,
n,0.314379774,67,0,0.253490401,2291,15,0,0,0,1
n,0.089103656,47,0,0.357630273,6447,12,0,1,0,0
n,0.9999999,47,0,0.193557345,3600,4,0,0,0,1
n,0.347867059,66,0,0.338924469,9836,11,0,1,0,0
n,1.008497876,42,2,0.208625401,8416,23,1,2,1,3
n,0.556870261,36,0,0.4155974,6000,7,0,3,0,2
n,0.111987046,42,0,0.063072776,3709,10,0,0,0,0
n,0.016587585,65,0,0.700119952,2500,8,0,1,0,1
n,0.082306999,42,0,0.376539904,5600,10,0,1,0,2
n,0.184011097,59,0,0.298172411,11982,21,0,3,0,0
n,0.071468864,41,0,0.296442688,7083,14,0,2,0,0
n,0.037555034,47,0,0.045981607,2500,5,0,0,0,0
n,0.009234274,60,0,0.193422953,9000,24,0,1,0,0
n,0.50526481,57,0,0.769473684,4749,12,0,1,0,0
